391,1
780,1
68,0
100,1
397,1
309,0
309,1
422,1
815,1
780,1
397,1
815,1
815,1
397,1
397,1
100,1
309,0
279,1
397,1
581,1
422,1
815,1
563,0
815,1
309,1
309,1
815,1
397,1
391,1
815,1
903,0
422,1
397,1
585,0
51,1
309,1
397,1
815,1
391,1
100,1
397,1
391,1
100,1
397,1
397,1
708,0
100,1
397,1
397,1
520,0
815,1
309,1
800,1
422,1
68,0
755,0
397,1
780,1
397,1
579,0
376,1
365,1
397,1
397,1
641,1
579,0
815,1
397,1
815,1
309,1
309,0
585,0
391,0
309,0
815,1
100,1
973,1
815,1
815,1
422,1
391,0
780,1
100,1
422,1
397,1
732,1
51,1
397,1
397,1
309,1
397,1
815,1
397,1
391,1
397,1
100,1
391,1
780,1
434,0
51,1
