sample_size,naive_mean,naive_std,nsb_mean,nsb_std,hdp_mean,hdp_std
100,0.9379946665297452,0.03943761849629371,0.2972699047619515,0.2634049939923835,0.2266038155707442,0.1610586146172367
117,0.930251906403752,0.037523291459931385,0.25499951911189844,0.2700835224008761,0.19870944476495248,0.12987417277463728
137,0.9051914261526004,0.032739136067718465,0.28903111129169756,0.1665560989038724,0.19491595132583048,0.09909498634238223
160,0.8896926099265394,0.03278223474878166,0.32710033741751215,0.12081065109670827,0.1983970560962241,0.0934988822241067
187,0.8699751700784397,0.03803162138756916,0.33236426116002177,0.12998730688306984,0.2218338159367765,0.11449009028636371
219,0.8315626118409564,0.033830521571795544,0.29568466260670484,0.10679383031545155,0.2029227992750674,0.09032491769605086
257,0.8088122084418521,0.039471769149832435,0.29825016283289263,0.12294910698806616,0.21133308220179103,0.09805047946298931
301,0.7779704593698422,0.03170309514366224,0.28560254678004254,0.08527330763507612,0.214041503354184,0.06450758252148575
353,0.7612082479714778,0.029360359136086756,0.3050064900576254,0.07507247661586479,0.2332959670292449,0.06358635594328915
413,0.7245394167761401,0.037545077971524524,0.2781814839340126,0.08985483013098652,0.22362889704770908,0.07630848045395686
483,0.6956264911142962,0.030842743701167605,0.27340522266189493,0.06577009888705372,0.22310108032919673,0.05777127062013687
566,0.6638331392951221,0.02496989697159234,0.2661076376417193,0.05031749830824738,0.22732273141559617,0.04144732571082149
663,0.6317866302659728,0.023397751942764652,0.2577076015034057,0.0407513840871226,0.2254518439144938,0.032629911729091354
776,0.6045372244795514,0.02041657214573276,0.25319932908867115,0.038994437839283795,0.2269803779131024,0.030925293865795355
909,0.5762814695997638,0.020998868111709767,0.24872522529918195,0.03153626326693062,0.22844124570512,0.027301822022390797
1064,0.550128326093183,0.017500885876069888,0.2472648375274346,0.03046800515141689,0.2276741722664606,0.02547671833369887
1246,0.5199407560556392,0.0180092592512575,0.24208879088310142,0.027520808182138826,0.22636301779949225,0.021725922390433652
1459,0.49880303249245594,0.014733929169914494,0.24298393973740595,0.022402318575687568,0.22812845964868533,0.0192625203483242
1708,0.47282977866413844,0.016507588692651308,0.2357574164530531,0.022906259050759995,0.2256839406908311,0.019576525525174283
2000,0.4483775945694947,0.015329084025382059,0.23294381069851006,0.019827073007205265,0.22343458981310646,0.01863325468640376
